Sample	MAG001	MAG002	MAG003	MAG004	MAG005	MAG006	MAG007	MAG008	MAG009	MAG010	MAG011	MAG012	MAG013	MAG014	MAG015	MAG016	MAG017	MAG018	MAG019	MAG020	MAG021	MAG022	MAG023	MAG024	MAG025	MAG026	MAG027	MAG028	MAG029	MAG030	MAG031	MAG032	MAG033	MAG034	MAG035	MAG036	MAG037	MAG038	MAG039	MAG040	MAG041	MAG042	MAG043	MAG044	MAG045	MAG046	MAG047	MAG048	MAG049	MAG050	MAG051	MAG052	MAG053	MAG054	MAG055	MAG056	MAG057	MAG058	MAG059	MAG060	MAG061	MAG062	MAG063	MAG064	MAG065	MAG066	MAG067	MAG068	MAG069	MAG070	MAG071	MAG072	MAG073	MAG074	MAG075	MAG076	MAG077	MAG078	MAG079	MAG080	MAG081	MAG082	MAG083	MAG084	MAG085	MAG086	MAG087	MAG088	MAG089	MAG090	MAG091	MAG092	MAG093	MAG094	MAG095	MAG096	MAG097	MAG098	MAG099	MAG100	MAG101	MAG102	MAG103	MAG104	MAG105	MAG106	MAG107	MAG108	MAG109	MAG110	MAG111	MAG112	MAG113	MAG114	MAG115	MAG116	MAG117	MAG118	MAG119	MAG120	MAG121	MAG122	MAG123	MAG124	MAG125	MAG126	MAG127	MAG128	MAG129	MAG130	MAG131	MAG132	MAG133	MAG134	MAG135	MAG136	MAG137	MAG138	MAG139	MAG140	MAG141	MAG142	MAG143	MAG144	MAG145	MAG146	MAG147
shHC1	901900	282094	1136	44014	293031	23701	6514	255511	14945	784	190647	377597	33175	61383	16302	6017	14313	686	30732	33913	263296	275981	1115194	92458	85437	66570	70669	93657	1115	81883	497367	459131	12032	207333	4819	188076	637001	248239	247983	133258	972064	29728	121738	148183	199088	60715	42086	23792	185209	193745	130147	742294	971	88447	2489	1461309	112458	37316	2173	11404	72121	38908	98882	24628	186193	205510	40	10198	8088	2434	191345	19329	89463	65541	360932	5724	35090	31595	284814	19471	211462	81886	376477	50674	17301	90378	135315	293304	243678	318648	24892	20	72652	9139	8576	35845	113139	34874	78599	6131	46649	18300	1074	225624	328112	40333	336239	20626	3857	57034	500950	426085	3393	46699	39959	9180	34715	84607	311852	233877	67379	2020	157355	33514	37860	1006810	14052	172164	6818	220990	93748	308135	4232	117454	239247	566117	642062	125169	167703	18580	56313	148442	233733	13226	114995	106047	10749
shHC2	647097	231171	1005	8573	34771	61679	6995	17761	13816	957	4057	751138	274174	174547	7154	253	37068	580	11076	15163	209636	60601	793249	46893	33802	92925	83771	68382	824	115478	1111243	3529	5686	248103	34875	50176	670466	5157	148745	433642	1101976	28911	44871	877643	9782	57158	229989	13051	120606	132814	74306	853008	75818	50183	1701	83126	499436	85850	40911	6555	29570	24281	193940	41523	81861	70458	19425	110588	14654	11466	63172	5777	952	87860	362264	2688	23143	116118	171953	13800	125269	58944	657156	41173	2830	40852	294646	377664	27558	38852	40140	9	42900	292897	168208	408705	413778	15111	234757	4823	24171	8291	586	153300	319168	24225	1249	29189	5004	79864	112067	429712	9152	3110	39082	5108	8325	187436	128799	20208	5821	23225	3204	5683	9815	762166	294439	125623	5923	121259	42056	105761	4095	96189	331195	466045	946254	48393	255371	18847	41456	5726	183583	8115	88127	179661	57437
shHC3	940890	263661	734	11508	152027	3899	3408	36692	7183	7217	813	206042	41473	160527	9543	12929	25288	168	18344	316271	274443	112749	26005	31716	41421	157288	54985	45941	2796	33762	718228	349036	44853	78479	175436	172550	318983	4869	93199	220112	597176	46210	72757	635387	223985	35002	3144	10873	105190	81238	69923	1301366	1675	11260	8251	3090777	88856	22410	30220	8012	519011	6726	38072	11613	106602	154317	74	12100	3812	1184	76220	25162	1930	86203	42605	3015	24518	141534	30798	26465	159405	77066	402883	164138	1221	67097	55001	489584	50851	78163	29786	17	47223	4699	9142	24757	94405	10439	79961	3874	31708	22156	1016	122986	282089	36998	1894	19550	1602	20945	141506	163481	105057	8946	5771	5185	19947	397430	127228	48514	129580	1013	7522	4845	37701	582668	7718	128539	12786	197650	3955	50621	3730	62629	2956	378311	880823	255778	188545	71512	43020	60955	100574	9163	71228	27522	6857
shHC4	806628	618519	3127	63026	155562	35255	5505	37751	13645	2258	1486	1411709	140887	214292	19337	799	33068	1815	54735	51249	414965	177972	534794	127677	76296	466834	26806	126934	1882	94323	1985962	6193	5928	968898	520668	148909	916105	26228	138029	1755782	1406008	44026	47228	997509	175201	132059	196581	192922	285556	261878	161448	1566354	149401	846797	4678	190452	229485	91576	47738	15564	2861919	20463	26941	202917	251111	246376	93	3902	70800	31040	175378	156202	5841	125131	715742	402990	53010	160957	230724	189156	258404	34602	1958848	405670	3782	188930	398732	514533	167320	71123	62270	77	46006	14185	44108	204109	85847	68548	206923	9635	61884	35079	1783	284384	916523	54525	4255	125486	3454	998271	476227	457797	7763	10312	270323	9146	41674	659014	288642	717742	16354	7563	9002	20590	150931	1235296	689527	208742	60572	15156	24282	247593	5010	259132	55686	723796	994357	136986	378824	40776	3710	11452	876034	18439	268291	352101	29660
shHC5	648075	202959	4468	16816	139753	7313	17839	16546	5366	2667	422	164377	392691	158975	7717	766	8068	246	16691	14388	296573	34077	54437	24771	45065	68754	43819	76897	839	40090	716160	2776	10573	132380	170822	74072	436406	4751	169036	173345	582363	74880	24050	194976	23919	40849	170884	60876	87818	86279	129714	3021663	56213	7402	6526	64104	61550	14971	5629	6950	29170	35579	34423	11380	137214	188161	78	111383	4724	6538	71367	194198	1270	38112	992	4509	26903	15372	88498	3936	94148	151340	430649	72645	4211	18066	31901	99846	56118	36687	30433	18779	38884	3393	250895	22584	191272	14871	32712	116987	29460	21382	514	123500	219194	27933	6314	2931	8503	10713	4416	154665	13109	3499	12576	17986	280630	25721	142822	11525	15117	20607	57692	10878	17674	436737	6190	2587677	2548	4500	6191	82688	2153	55946	169573	528783	463202	118970	94016	14235	44968	42252	29195	7721	96830	14247	71114
shHC6	675292	387524	2211	24871	122418	12822	30262	21932	9990	27489	16652	171207	169313	188867	14416	805	26522	392	19306	27775	193598	33299	5611	62274	615674	83321	76016	120876	1703	212001	517455	571230	1709	153380	531256	85805	235935	11774	165291	207591	504500	22854	18602	630693	82804	19700	437410	3272	157322	171902	60260	1160110	9560	168971	89406	83943	50212	35315	676	7832	60706	35154	103972	30222	224517	209930	96	49789	7627	29658	74587	267385	50447	56975	6018	48969	35251	49561	52449	6948	261551	48064	165308	98532	54348	33384	68381	301449	52735	24800	23518	23596	18773	7693	111903	16578	718181	26628	22745	339439	99984	4662	621	101741	334467	35508	61875	2619	3582	93680	488473	109226	6150	7883	27548	9051	86817	136046	223459	22656	103532	84885	196376	4644	20493	610612	11112	171078	6035	7903	8701	108905	242394	58792	317038	652617	1011345	104881	91881	20468	50491	12596	59578	9396	45651	2707	34497
shHC7	702535	220364	24571	9400	123504	18160	25032	15930	6792	88677	961	200973	107326	88050	8121	268	21509	250	14813	160755	204857	22780	198276	33357	144271	431282	42700	87464	1236	30158	1076847	785777	122264	133993	7928	48130	301485	2810	114877	390759	614687	24885	59728	582078	49660	177978	26430	31693	121533	86267	92306	1181934	58339	64214	4166	74850	41100	30862	4883	9243	12184	76263	27699	12955	106049	79356	98	101752	2350	9136	43828	38013	27247	105351	1057	2432	32089	63209	54813	10409	117263	89777	836013	220693	33032	25012	84324	354836	59500	16818	40562	13167	15603	5315	20506	27096	354685	10024	55013	30735	57023	1915	503	96902	429510	18126	41441	3588	25033	5376	7594	91172	4714	2282	3563	10306	31733	60805	68796	25034	43012	94328	28990	4147	34693	638686	5084	119868	3398	4545	36450	109312	164580	43932	309981	464719	423290	72216	48102	341479	68192	3433	55964	9582	44255	1013	13333
shHC8	307566	1036789	4271	51516	63774	127	1328	17744	10579	1499	141160	175534	45217	24441	13712	200	3601	139	12191	32595	88916	42154	3530	44948	40113	154058	32866	33677	3711	23786	222666	4765	109537	48104	81597	40316	253662	12087	87410	28930	537766	37774	21911	174024	316426	20573	7140	53294	49921	71680	21866	406282	565	64583	11011	66296	30972	6704	7594	6895	29263	6087	26134	12659	75214	79473	111	172626	158141	484	38197	7789	17752	15032	2978	93945	31376	3336	40511	13091	115889	30300	148860	192342	133981	17394	83872	207221	165031	72784	10735	15383	31586	6416	10011	32573	166974	35013	14384	3524	30379	27109	1061	38671	279992	432893	1817	2353	10265	44681	6402	73383	2867	6026	14138	508896	106566	4673	132567	71813	18653	1052	37093	18854	39493	229740	32883	5216347	8076	10775	2314	122513	3507	60632	9300	327875	352266	61541	27005	9280	43173	52380	40493	10230	81432	3608	8870
shHF1	2129821	309070	2702	106413	544281	160892	12757	377156	17506	1285	140181	556871	39806	88873	17060	2156	9809	417	65770	45494	636322	395235	2588082	185529	86472	109269	122109	196262	2274	101429	2367696	259213	4005	174795	5381	459286	1315792	328764	722745	198818	770167	67687	61581	219992	62648	104657	33172	32034	340182	240644	248705	1581974	1627	133091	2701	1653471	349811	22140	8059	15338	106440	27910	67920	33675	380100	207131	87	3041	9464	3287	383279	24816	51150	80107	383499	6868	27758	26116	533230	44187	138754	178252	590504	33530	30988	20326	64885	393312	175313	536393	43752	15	145642	11766	11038	25562	67304	79136	60623	10037	117875	24830	481	480289	416907	56472	160701	9850	5600	9929	571774	1031870	7020	52272	99185	11667	89959	53775	384537	192764	78047	3058	123632	55596	45334	1249377	23658	215325	10361	132121	43005	677936	5878	200355	682572	813833	851701	266299	388347	17785	73925	307608	211660	15456	294076	87282	13636
shHF2	1523823	478466	2975	12121	76007	212173	13607	20355	10435	1817	7803	2013143	222646	413704	8218	385	105051	1182	15529	25034	471513	127767	1811822	78211	45092	139983	175654	178683	2144	118869	3961479	5026	9810	592703	45382	94662	1481752	5793	361207	920887	960788	63570	46915	1834680	8778	103375	242862	25493	263314	261932	154668	1886051	163287	38314	1920	132464	1111418	259440	150686	6567	46405	15601	138253	64566	188590	49030	53654	87927	17555	20833	137934	7670	1007	132665	162759	2809	19491	195778	384694	16143	121712	135852	1698802	45321	3210	79636	502235	903661	24062	76580	58932	21	98869	146269	127519	419788	532345	21111	640426	10168	44595	5228	1009	368963	522751	39596	1336	36453	9551	79004	160180	917300	28541	4350	51280	5269	21148	268930	229520	24688	6435	74691	3502	8629	9585	1588840	364740	164271	10505	110758	70113	238925	3943	207114	159353	806715	1834275	109726	569413	42440	70754	7907	124179	8306	198612	208991	45937
shHF3	3704707	588196	2160	19076	507919	15104	5147	29282	5857	20538	540	602562	33697	560756	8291	9120	40282	372	87755	112804	971988	318747	75115	79172	44491	124274	188468	150903	8728	35530	3989433	348310	17723	169585	376524	484547	1204267	4744	391752	661694	793211	166620	42483	1769183	89034	102018	2235	14132	347142	205697	233261	4688051	4228	10581	4902	2517595	371153	33854	202015	7192	997544	3820	27971	18589	363958	158126	181	4307	2270	2612	288136	12543	2266	185782	7729	2006	15186	197893	117808	56756	113038	300443	1287388	141147	883	32116	55880	1323124	28547	222703	45776	7	184175	3808	7948	22225	134144	16722	133246	8785	72133	9266	730	518033	401526	63896	1492	13854	2921	5030	59286	514252	526218	10241	6177	5491	71090	192954	301357	46085	23724	1252	5000	4992	19262	1446606	7013	207511	38041	156076	4343	201842	2163	211046	2048	820321	1776792	1055694	738027	58448	57477	57772	62624	7682	329100	34875	5480
shHF4	1615342	760536	7375	68087	239996	145489	8050	31449	11193	3543	1052	2408072	126934	450801	16222	331	50228	3121	43593	45406	681492	310785	550468	207722	63878	400091	41764	233991	3954	85219	5282880	5158	2259	1779329	434479	259414	1374970	22351	264783	3177725	922760	75324	41676	1611047	157417	206824	154104	212901	529055	408134	308915	2363242	249207	398492	4103	199771	424938	140831	175893	13544	2098660	14476	19492	199633	464251	193863	166	2907	64395	46201	265377	184420	7713	148997	412600	286788	42929	201413	375544	230875	206569	66190	4144749	266285	3298	73715	430918	877895	111641	101932	65731	24	80461	9589	40961	140338	86555	72281	315162	14873	56526	20987	896	417099	907110	58306	3181	54831	4349	387877	414550	716141	14388	8977	226787	7347	93662	415997	315477	506487	13350	11127	6895	18182	89883	2141129	848115	204125	84606	11275	27905	430739	3734	477755	57924	955223	1299193	236412	717256	49713	3281	9472	540319	16170	495599	250503	24621
shHF5	4702182	819158	2410	14982	695036	20539	5422	18148	4207	32671	469	1253027	19472	597044	5772	18967	119326	364	97069	118644	1326613	530264	58884	100602	35351	62142	244622	162204	9076	26664	5370607	216201	25978	227948	362619	604068	1725260	3720	553310	885421	605804	224258	41393	2502259	58459	137900	1744	16666	451370	208290	325072	5357940	5038	7900	3372	1561431	515468	96336	209967	4650	942229	3022	24057	11784	464847	121745	279	5493	1565	3454	450215	6055	3552	225674	6842	1420	11741	135500	174966	42993	98489	440426	1868980	185353	792	73861	114927	1367533	22351	358489	28612	21	256519	2570	4408	26256	152586	13128	383619	10403	44897	3594	1355	736314	411038	65808	1113	32105	4248	6568	39413	709721	639195	7469	3923	3875	93546	141090	352112	53047	16724	1199	3341	3350	11941	1636681	4730	247430	28331	100457	3432	264989	1602	290211	1726	659061	1832352	1489598	1020344	98849	33598	30079	38651	5123	452740	24450	3277
shHF6	1587161	833107	5489	107665	264424	66791	81392	55503	21916	57453	33321	655772	515202	334841	38026	1479	79844	613	31810	53514	431869	91950	16561	144707	1859158	188671	160169	202279	4332	734784	1160896	877013	2715	293904	1053235	130994	738603	26580	418229	466175	1238160	39289	71642	1242729	148353	48264	382078	8623	309057	207824	155117	2764904	22282	292950	165825	202304	144538	108993	2149	19394	155682	36590	241055	98232	378097	360686	206	116042	13350	69588	235991	500807	203797	143530	9821	103851	70602	75113	133176	23785	773959	121094	554452	254003	91164	53017	268172	737371	126384	59556	79767	13700	43194	15074	354838	59509	1568253	114861	94877	1587494	454835	11281	1083	237563	783539	80422	329240	5395	7804	195462	802698	360086	18037	24008	84496	22309	178071	311596	440243	122587	218597	290422	210104	13556	43714	1383470	29041	283669	17553	18924	26059	216928	489455	176640	613651	1199888	1671963	192632	204184	54616	113816	29991	267309	25308	142826	6398	102735
shHF7	1095668	1576085	8073	71805	218969	251	1857	10780	6601	3544	137229	599733	16173	91271	7632	169	15542	135	26751	21227	329933	136251	2830	67989	25439	43315	98839	84460	4384	16607	1066611	3232	160647	61679	117721	124898	954594	7050	356621	84356	617636	137638	10205	584418	223542	28936	6929	27247	193719	164285	77120	955594	664	32016	4681	64724	115255	28976	25667	4488	22748	2021	13343	8903	250409	70442	75	69729	84631	796	153638	3835	11694	20210	1874	29871	16868	4408	141869	8578	60815	118292	470116	176785	16534	21732	146244	557994	90047	224297	6253	12106	130150	2336	4842	16773	227641	49985	64928	5456	23412	10572	1036	138682	242966	326924	1021	4224	25419	13508	3143	200834	5216	3616	10266	104146	376120	3621	259710	36461	9867	822	9518	6199	22904	598980	14550	3897194	4449	7168	1294	468334	1741	215767	8679	535675	663565	218279	106881	14511	34172	35979	13769	5649	314531	2119	4452
