"rab.all"	"rab.win.H"	"rab.win.RT"	"rab.sample.B169"	"rab.sample.B170"	"rab.sample.B171"	"rab.sample.B172"	"rab.sample.B173"	"rab.sample.B174"	"rab.sample.B175"	"rab.sample.B176"	"rab.sample.B184"	"rab.sample.B185"	"rab.sample.B186"	"rab.sample.B187"	"rab.sample.B188"	"rab.sample.B189"	"rab.sample.B190"	"rab.sample.B191"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Bacteroidaceae"	4.42247773704659	3.67021011281783	5.09172812553146	3.07592163444125	3.43669656980023	3.81870738734448	3.33018495997758	2.79826168814921	4.17467238565555	4.2494224359607	4.54609352202962	5.18037485090553	5.10124762854247	4.4709294845339	4.52251740947568	5.43314361962383	5.40757584525477	4.5162168188888	5.27561291286031	-1.32955288477448	0.868147678351796	-1.50170826327056	0.0585943859309574	0.0010822639039925	0.00607444341758755	0.0020541958041958	0.00968758093758094	"Significant"
"Bifidobacteriaceae"	-6.63754242159166	-4.0541563811214	-8.31641274766155	-4.41647324010872	-3.94794941950085	0.312107682466059	-0.275009596741658	1.07654428068784	-4.77074095885843	-8.98487612013079	-9.3011532401431	-8.92179943276356	-8.56647828040565	-8.80831173083867	-8.42251760397642	-7.98655306026286	-7.38545347295404	-7.83169801603558	-8.20261340903614	5.44868616513381	5.11552937173549	0.949751537193237	0.167968938810957	0.0481736982500181	0.0799273828771007	0.0333126942501942	0.0638366650836025	"Significant"
"Christensenellaceae"	0.501056555100307	0.0213120281331207	0.927843094823717	-0.216809795448395	-0.109773465627248	0.372939456001536	0.0589795131923267	-1.39090535100872	-1.32351805018018	0.678918506152273	0.496866299353881	1.15639689446564	0.462729240161307	0.743043625502472	0.404611116179716	1.19059257684026	1.74276342118963	0.669268042648956	1.14151610228407	-1.00066828386605	0.993060582869599	-1.00318273385157	0.111111422812827	0.0109675148932284	0.0286993717948233	0.0113551379176379	0.028906054138771	"Significant"
"Clostridiaceae_1"	-1.15870347842072	2.31561323841198	-6.43647341951688	2.9735437522448	3.78784237619081	2.7132067231389	2.38396854974538	2.25931480739216	-1.88617147308964	0.927618308329055	0.193506187408803	-9.74866808232605	-8.25862129915213	-8.16206600667048	-9.01749419165337	-4.65710231894765	-7.35860367152777	-0.752297356196427	-1.58185640089649	8.10545231707581	4.55637346650448	1.60626734510005	0.0253426515974776	0.000948023402462348	0.00497334063815505	0.0005621114996115	0.00415725688452961	"Significant"
"Clostridiales_vadinBB60_group"	1.15050950072897	0.360497572159316	1.79026867801886	-0.0954187731095271	0.491344513682717	1.33882829297169	-1.015589076667	-0.318901498114763	0.446022461364417	0.421547518263201	1.77062928279344	1.77907063869491	2.45830472019959	1.09768374633125	1.366576887345	1.98573126278179	2.96119661226973	0.416058681917765	1.87027607010571	-1.38318718798737	1.26274999132582	-1.0123955414871	0.122807294725745	0.00960333625823304	0.0273487627542898	0.0149524087024087	0.0368054998673851	"Significant"
"Desulfovibrionaceae"	3.12796127123408	2.32694298433553	4.17411006312649	3.5538498821834	1.36755215718716	1.22777074567539	2.18529561569186	3.01873566716184	4.00545869798095	2.42009986334838	1.92070291539214	3.08359409438254	5.14238714297544	3.65016008995861	2.51747308613284	5.36512250221698	4.5748292237661	2.94110132243126	5.0554612207919	-1.56195568446647	1.64645175092494	-1.00257142479571	0.167968938810957	0.013142455816256	0.0330821790102612	0.0214039432789433	0.0479487046201253	"Significant"
"Eggerthellaceae"	-4.18585092657047	-5.77485604069696	-2.78183077374893	-5.07509715323718	-4.09754540025084	-8.90372934583706	-4.16236294709252	-7.15480259617259	-9.40427797909623	-9.48224255442929	-4.76337709441901	-3.26545523676577	-3.90856583932852	-8.26827137738183	-2.83447834048018	-0.810068894559809	-1.52002858318634	-3.1526585576856	-0.63951078605546	-3.53675150163668	3.56281619500458	-0.865049811724299	0.111328437212451	0.0502690106156449	0.0842926011879343	0.0113636363636364	0.0300191589405562	"Significant"
"Gastranaerophilales.other"	1.89588027464012	0.754269670722199	3.16129176814618	-0.216415641121894	1.1029565583684	0.514190284881083	0.46350686252428	2.16082743298987	1.65511057949203	0.696205376266303	0.715320265641398	4.16271178032182	3.61883697767423	1.13395722232154	2.23617008863056	3.46824688538131	2.20580181818381	3.01532286601776	3.29216207239564	-2.12773727011448	1.26781887986875	-1.60533904003705	0.0643280583714074	0.000824595550174062	0.00504327194690479	0.0018769425019425	0.00935979144312478	"Significant"
"Lachnospiraceae"	5.33978248090869	4.66465591909909	6.6122670039814	5.63147567051108	4.86419557494415	4.47719232188915	3.81351056322465	4.43609344177584	5.50600704683464	4.66610155972015	4.59188507886934	5.74919779911641	7.50656956130833	5.77687301042449	4.82408081293756	7.77301968465599	7.11605257050074	5.02962296361973	7.417355322246	-1.6860869637356	1.40453078094718	-1.14346073748229	0.113281555960186	0.00722742389984141	0.024580575974708	0.00965544871794872	0.0276783712812268	"Significant"
"Lactobacillaceae"	2.92128666361988	3.23575742114262	2.40360141812641	3.38069871497064	3.01765540534158	3.1117267150144	3.2066632767973	3.2034116061434	1.98251495080402	3.77849580405579	3.63178873959299	2.3871124268294	2.89207891876039	2.6170596584872	2.45985929547036	1.84715508565308	2.03772057548335	3.15670484157203	1.49091201101346	0.819861680182738	0.817641983249214	0.915726886587766	0.144249740812302	0.0235731362765753	0.0511158704152649	0.0263864607614608	0.054841217684594	"Significant"
"Marinifilaceae"	2.94182887667719	2.26358767423758	3.80520943427996	1.46231754197659	2.38082397899332	2.54109018250847	1.95148579659713	2.41158113808178	2.06015907656246	2.07965552422567	2.90779812723233	2.92678276341314	3.33660735991303	3.51539547620444	3.7784528625528	4.16547996669069	5.16299794296569	3.73012225777887	4.0296721090687	-1.58463359449009	0.842846074206279	-1.80300262224587	0.013648082560154	0.000370931776668211	0.0027947164975681	0.000430992618492618	0.00336182336182336	"Significant"
"Muribaculaceae"	8.531082846358	7.75458309717195	9.0401549273412	7.97939838291381	7.73545588995283	7.8760850669922	7.26609971771751	6.72890639866599	7.5833507840842	7.86378015469369	8.29947447427688	9.11300020160034	9.13147175959918	8.99226291342689	8.9535300479713	8.86338228961528	9.81602635033234	9.04389810868656	8.74900703658678	-1.36398960881426	0.648754150833351	-2.14234324948782	0.00391628806195076	0.000105188867717779	0.00141326491787615	0.000206390831390831	0.00247280497280497	"Significant"
"Peptococcaceae"	-1.4539394370482	-2.23022959180237	-0.291611061309547	-1.75611336409185	-2.7722724386425	-2.84292559635113	-3.07316463052709	-2.44535415984772	-0.915931028717483	-0.561535972681093	-2.02573795148852	-1.26799053001915	1.18647541063068	-0.760250764357212	-2.17622598031628	1.01979422752263	0.12270060422249	-2.1429761625588	0.802113188165048	-1.69055774544169	1.80297870158946	-0.932422069211011	0.185185350347885	0.0225993520897932	0.047844414686692	0.0339112276612277	0.0658966386770039	"Significant"
"Peptostreptococcaceae"	-3.4054074168473	0.883602111210971	-8.29544993319609	0.78963411371392	1.11752928065042	-0.158127033512587	-2.87360485344692	1.29700370887003	0.784796863739919	1.44929286967941	0.961375232486915	-8.40451789949098	-7.80985794366871	-8.39252717595208	-8.72403340049012	-7.76344649428131	-7.45062815443565	-8.19822097922201	-9.46519923233859	8.95353696673692	3.24856887702886	2.80215144825076	0.000137056276785441	7.96906686842322e-05	0.0007257452749732	0.000156614219114219	0.00235107485107485	"Significant"
"Prevotellaceae"	6.11149880778156	5.37536147795884	6.54061477973468	4.9307882802481	5.38694600879286	6.21228506663156	4.84106666124852	3.81535120043364	5.31224868292109	5.93055090639386	6.50859764105937	7.56209488309955	7.34035266939596	5.96346322584855	5.97615457758248	6.34770983800435	7.07693582001293	6.50908493861391	6.26452543761097	-1.18315113174621	1.12798395686987	-1.04754945469355	0.118908670014992	0.00842686489740581	0.0256274499029277	0.0130596833721834	0.0332904762635326	"Significant"
"Rikenellaceae"	5.55441076908419	5.23056719447458	6.38805023223754	4.84564836178256	5.48836518142804	5.32039002088794	4.82803433420778	4.3507809043549	5.26864928980282	5.3991384803844	5.99529205505688	6.89102002500036	6.71679763601876	5.32185886767143	5.10413768103627	6.57888184368592	6.38231710804984	5.78922238544306	6.52875057861246	-1.08025558155245	0.924614937536316	-1.07098804550459	0.152343963954536	0.0128959186963534	0.0314589548001472	0.0217875874125874	0.0473532154251229	"Significant"
"Ruminococcaceae"	5.68065184593793	5.35893371444792	6.41756866995113	5.38052555177793	5.67903000533089	4.3462711375651	4.91564560452873	5.13139582796372	5.53903671973914	6.20345361328912	5.37327075485656	6.63356829197683	7.37702224431884	5.45125597540309	4.44669265708027	7.39961410936144	6.06589003169753	5.99287667148418	7.1953344268294	-1.0689048041602	1.19969258886999	-0.848222705892511	0.185547040368563	0.0481682136810664	0.0864864727306954	0.0529768842268842	0.0932761040854418	"Significant"
