	A2	ASF356	Acetatifactor	Acinetobacter	Adlercreutzia	Akkermansia	Alistipes	Alloprevotella	Anaerofustis	Anaeroplasma	Anaerosporobacter	Anaerotruncus	Anaerovorax	Angelakisella	Bacteria other	Bacteroidales other	Bacteroides	Bacteroidia other	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyrivibrio	CAG-873	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Saccharimonas	Candidatus_Soleaferrea	Candidatus_Stoquefichus	Caproiciproducens	Chloroplast other	Christensenellaceae other	Christensenellaceae_R-7_group	Clostridiales other	Clostridiales_vadinBB60_group other	Clostridium_sensu_stricto_1	Coriobacteriales other	Corynebacterium	DNF00809	Defluviitaleaceae_UCG-011	Desulfovibrionaceae other	Dialister	Dubosiella	Eggerthellaceae other	Eisenbergiella	Enhydrobacter	Enterococcus	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae other	Escherichia/Shigella	Faecalibaculum	Family_XIII other	Family_XIII_AD3011_group	Family_XIII_UCG-001	Firmicutes other	Flavonifractor	Fusobacterium	GCA-900066225	GCA-900066575	Gardnerella	Gastranaerophilales other	Haemophilus	Harryflintia	Herbinix	Hydrogenoanaerobacterium	Intestinimonas	Izimaplasmatales other	Kallotenuales other	Lachnoclostridium	Lachnospiraceae other	Lachnospiraceae_FCS020_group	Lachnospiraceae_NC2004_group	Lachnospiraceae_NK3A20_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_NK4B4_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-002	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillales other	Lactobacillus	Lactonifactor	Lawsonella	Marvinbryantia	Megasphaera	Mitochondria other	Mollicutes_RF39 other	Mucispirillum	Muribaculaceae other	Muribaculum	Novosphingobium	Odoribacter	Olsenella	Oscillibacter	Oscillospira	Parabacteroides	Parasutterella	Pasteurellaceae other	Peptococcaceae other	Phocea	Porphyromonadaceae other	Prevotella_9	Prevotellaceae other	Prevotellaceae_UCG-001	Proteobacteria other	Pseudoflavonifractor	Pseudomonas	Rhodospirillales other	Rikenellaceae other	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae other	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Senegalimassilia	Shuttleworthia	Streptococcus	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3	XBB1006
B154	33	163	285	0	0	2763	6862	0	2	345	75	339	99	97	77	0	3276	0	61	1071	0	117	0	0	0	0	0	4	0	0	0	16	0	251	4068	0	0	0	0	71	0	0	0	0	5	0	0	0	11	130	0	3416	30	8	12	0	67	0	93	411	0	243	0	36	0	246	327	5	0	1533	4223	248	0	0	9952	0	894	121	42	166	7	0	961	0	0	0	0	0	214	1762	27533	1561	0	935	18	2157	0	482	2167	0	125	33	0	0	0	947	0	0	0	208	0	661	0	1523	1198	498	114	1014	1555	36	21	0	39	367	257	17	1754	328	0	21	0	0	197	54	0	0	0
B155	49	143	167	0	0	2119	2506	0	0	15	42	166	19	0	15	0	2200	0	28	503	0	74	0	0	0	0	0	0	0	0	0	5	0	66	715	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	0	1336	12	2	6	4	37	0	92	231	0	90	0	32	0	167	281	0	0	743	2937	137	0	0	4801	0	133	13	14	52	6	0	749	0	0	0	0	0	116	498	23714	1128	0	264	37	1011	0	321	1394	0	42	45	0	0	0	539	0	0	0	38	0	186	0	520	645	169	64	715	677	31	10	0	10	149	81	8	352	222	0	18	0	0	44	13	0	0	0
B156	0	33	115	0	0	3607	3749	0	0	0	0	72	12	0	9	2	2636	0	79	433	0	40	0	0	0	0	0	0	0	0	0	25	0	89	699	0	0	0	0	10	0	0	0	0	0	0	0	9	9	0	0	1177	7	5	4	0	36	0	36	224	0	144	0	0	0	91	345	0	0	688	3993	68	0	0	2112	0	1437	34	16	60	3	0	436	0	0	0	0	0	60	267	32394	1296	0	309	34	1310	0	450	1524	0	98	0	0	1	0	1251	0	0	0	177	0	270	0	332	919	125	333	861	612	15	0	0	8	163	38	0	965	499	0	0	0	0	67	19	0	0	0
B157	43	174	200	0	0	2155	2474	0	0	17	45	177	13	0	11	0	2011	0	19	454	0	62	0	0	0	0	0	0	0	0	0	11	0	72	700	0	0	0	0	0	0	1	0	0	1	0	0	0	0	10	0	1183	16	0	4	0	29	0	70	246	0	71	0	15	0	234	278	0	0	669	3249	106	0	0	4905	0	173	17	35	63	4	0	668	0	0	0	0	0	80	623	22905	1114	0	232	34	1109	0	256	1332	0	64	39	0	1	0	456	0	0	0	44	0	158	0	516	709	155	70	913	800	17	0	0	6	156	86	1	245	269	0	20	0	0	19	15	0	0	0
B158	11	89	129	0	0	2655	4794	0	2	29	0	79	25	0	13	0	3336	0	0	583	0	100	0	0	0	0	0	0	0	0	0	27	0	48	1664	0	0	0	0	25	0	0	0	0	0	0	0	10	36	6	0	969	0	8	6	0	29	0	83	385	0	558	0	40	0	242	461	0	0	711	3273	139	0	0	6835	4	370	18	60	29	11	0	1002	0	0	0	0	0	146	463	22104	1334	0	142	9	1780	0	413	860	0	142	46	0	0	0	1701	0	0	0	164	0	347	0	981	1222	212	290	1154	806	49	0	0	0	211	49	0	1402	239	0	0	0	0	107	44	0	0	0
B159	5	0	248	0	0	7445	4142	0	0	22	117	153	51	82	28	0	2133	0	99	896	0	62	0	0	0	0	0	0	0	0	0	17	0	85	2391	0	0	0	7	23	0	0	0	0	2	0	0	0	0	54	0	3628	3	5	8	0	39	0	49	403	0	101	0	5	0	113	339	0	0	645	4630	69	0	0	5457	0	37	20	22	85	6	0	519	0	0	0	0	0	156	973	24078	1462	0	273	14	756	0	636	1915	0	123	3	0	0	0	982	0	0	0	201	0	373	0	396	573	499	202	852	742	52	8	0	39	403	113	22	403	1498	0	16	0	0	132	26	49	0	0
B160	24	11	169	0	0	2493	5008	0	0	0	51	205	46	0	42	0	2610	0	32	719	0	42	0	0	0	0	0	0	11	0	0	16	0	399	3163	0	0	0	0	49	0	0	0	0	0	0	0	0	8	48	0	1925	0	16	17	0	16	0	66	260	0	186	0	41	0	174	287	0	0	988	3782	77	2	0	5762	0	310	25	27	41	9	0	602	0	0	0	0	0	159	827	22741	1191	0	362	28	1634	0	532	1174	0	96	57	0	0	0	1454	0	0	0	258	0	186	0	609	616	397	345	965	756	62	0	0	23	353	128	2	904	892	0	0	0	0	136	0	126	0	0
B161	260	74	63	0	0	3052	5335	0	0	0	82	250	6	0	0	0	1299	4	0	380	0	562	0	0	0	0	0	0	0	0	0	16	0	106	2046	0	0	0	0	98	0	0	0	2	0	0	0	0	0	27	0	706	15	4	2	0	0	0	20	129	0	524	0	103	0	112	293	0	0	702	3789	107	0	0	6701	2	128	7	31	8	0	0	225	0	0	0	0	0	120	576	24027	563	0	373	15	890	0	148	694	0	53	27	0	0	0	1078	0	0	0	331	0	100	0	446	927	401	1159	735	374	0	8	0	140	247	135	11	1440	260	0	13	0	0	21	0	0	0	0
B162	2297	701	596	0	0	61	7938	9	0	8	196	353	10	0	43	0	3310	0	9	355	0	166	0	0	0	0	0	0	0	0	0	18	0	75	3576	0	0	0	21	0	0	0	0	0	898	0	0	11	9	50	0	196	30	18	20	0	63	0	86	246	0	552	0	118	0	125	386	0	0	1593	6751	145	0	0	6718	0	2143	0	16	84	23	0	406	0	0	57	0	0	504	1745	26796	1338	0	303	20	743	0	120	1084	0	126	30	0	0	0	958	0	0	0	268	0	221	0	2304	1471	328	142	703	876	12	15	42	18	227	105	58	1255	36	0	40	0	0	42	21	0	0	4
B163	75	17	122	0	3	1857	5700	0	0	9	19	214	0	0	77	0	1687	0	0	384	3	121	0	0	0	0	0	0	0	0	0	18	0	89	1999	0	0	0	0	55	0	0	0	9	0	0	0	0	19	72	0	2683	6	0	8	0	6	0	34	160	0	529	0	80	0	150	133	0	0	938	1541	154	0	0	2964	0	151	21	9	145	0	0	274	0	0	0	0	0	214	542	31867	1167	0	337	25	897	0	350	1915	0	140	0	0	0	0	1474	0	0	0	363	0	51	0	1089	435	462	733	570	583	42	0	0	75	387	91	6	2042	280	0	15	0	0	117	0	0	0	0
B164	25	28	115	0	0	4831	4736	7	0	8	60	147	14	44	55	0	1988	0	0	369	8	154	0	0	0	0	0	0	0	0	3	18	0	84	1707	0	0	0	0	39	0	0	0	6	0	0	0	0	11	71	0	3488	11	0	12	0	16	0	89	262	0	308	0	57	0	127	264	0	0	803	1853	310	0	0	1888	4	2037	11	24	65	9	0	285	0	0	69	0	0	211	324	28394	619	0	122	14	681	0	266	1841	0	113	0	0	0	0	1094	0	0	0	466	0	24	0	570	461	561	25	833	479	17	0	0	28	279	75	19	1657	904	0	0	0	0	81	17	0	0	0
B165	24	206	179	0	6	3135	4661	0	0	0	63	439	15	73	15	0	1296	0	0	279	0	57	0	3	0	0	2	0	0	0	0	23	0	62	1682	0	0	0	12	41	0	0	0	0	10	0	0	0	0	38	0	3275	8	15	8	0	0	0	73	187	0	465	0	73	0	78	162	0	0	1298	3905	212	0	0	6240	0	666	5	17	125	5	0	28	0	0	0	0	0	194	831	23312	1228	0	315	17	314	0	165	1449	0	98	0	0	0	0	1114	0	0	0	411	0	36	0	1691	477	425	1049	665	374	41	6	0	55	198	91	18	1697	240	0	10	0	0	12	24	0	0	0
B166	217	11	195	0	5	822	9210	0	0	153	20	576	18	0	3	4	2155	0	0	386	12	123	0	0	0	0	0	0	0	0	0	37	0	144	1624	0	0	0	21	66	0	0	0	0	0	0	0	0	28	58	0	2811	23	14	14	0	16	0	121	214	0	610	0	177	0	286	1021	0	0	1132	2702	192	0	0	8566	0	934	0	17	35	10	0	111	0	0	0	0	0	433	1113	29677	1351	0	444	52	1145	0	369	1407	0	261	0	0	0	0	2107	0	4	0	323	0	378	0	983	1298	482	967	1769	851	66	0	0	121	586	178	5	2436	364	0	0	0	0	72	0	0	0	0
B167	77	17	49	0	3	2439	4307	0	0	0	89	367	9	0	0	0	823	0	0	306	0	86	0	0	0	0	0	0	0	0	0	14	0	41	518	0	0	0	10	53	0	0	0	0	0	0	0	0	0	28	0	1214	13	17	11	0	13	0	31	92	0	235	0	49	0	69	182	0	0	557	1577	30	0	0	4342	0	47	0	0	46	7	0	202	0	0	0	0	0	159	337	20734	733	0	150	45	500	0	107	1429	0	74	0	0	0	0	576	0	0	0	108	0	114	0	423	676	187	575	535	424	59	0	0	22	138	55	0	913	37	0	0	0	0	38	12	0	0	0
B168	171	21	147	0	0	2575	5956	0	0	0	93	879	10	0	17	0	1621	0	0	298	0	142	0	0	0	0	0	0	0	0	0	22	0	134	1900	0	0	0	0	81	0	0	0	4	0	0	0	0	8	54	0	1245	12	0	0	0	12	0	19	132	0	188	0	154	0	171	321	0	0	1203	4504	38	0	0	8346	33	0	0	16	31	16	0	216	0	0	0	0	0	349	499	15966	925	0	270	25	768	0	180	1120	0	91	23	0	0	0	1034	0	0	0	159	0	150	0	2221	309	213	1193	823	492	30	0	43	47	352	75	0	842	77	0	14	0	0	30	32	0	0	0
B169	74	44	48	0	0	8940	4660	4249	0	0	0	103	10	0	0	0	1377	0	8	18	0	65	0	0	50	13	10	0	0	0	0	142	0	0	155	1287	0	0	5	100	1911	0	1248	0	0	0	0	0	143	33	7	0	66	53	10	0	0	0	37	117	0	143	0	44	48	24	119	0	0	273	2772	30	0	0	2991	0	1543	0	11	23	0	0	1719	0	0	0	0	2	582	0	40194	1291	0	455	0	139	0	390	2520	0	50	0	0	0	4	794	0	0	0	880	0	77	287	126	197	55	415	665	557	9	0	44	20	24	134	57	3905	265	0	0	0	542	4	37	42	18	0
B170	9	0	27	0	0	5928	5565	4137	0	0	0	0	0	0	0	0	1341	0	8	0	0	50	0	0	42	112	0	0	0	0	0	78	38	1	172	1592	0	0	0	117	324	0	857	0	0	0	0	7	260	19	0	0	76	19	2	0	3	0	0	94	0	262	0	4	0	0	92	0	0	89	2056	16	0	0	826	0	354	0	0	0	0	0	999	0	0	7	0	0	511	0	25431	982	0	652	0	60	0	647	2051	0	18	0	0	0	0	1082	0	0	0	2225	0	21	266	107	132	15	114	685	1594	0	0	22	7	32	55	8	3099	356	0	0	0	622	0	0	2	8	0
B171	9	25	20	9	0	3910	4927	7377	0	0	0	38	0	0	0	0	1750	0	157	0	0	33	0	0	129	2	0	0	0	0	0	77	86	7	306	810	0	0	0	32	286	0	2564	0	0	0	0	0	139	84	0	24	19	24	0	0	0	0	0	88	0	174	0	0	0	0	65	0	0	106	438	0	0	0	1639	0	332	0	0	6	0	0	1075	0	0	5	0	0	312	0	27991	1097	0	724	6	129	0	336	2306	0	17	0	0	0	0	1789	0	0	0	767	0	39	110	87	47	25	33	288	247	6	0	23	60	26	88	34	1185	178	0	0	0	44	0	0	18	0	0
B172	133	0	52	0	0	4793	6073	4306	0	0	0	15	0	0	0	0	2162	0	177	0	0	41	0	0	46	18	9	0	0	0	0	85	141	403	106	1100	0	0	0	130	989	0	1428	0	0	0	0	12	41	204	8	23	44	31	2	0	0	2	27	60	0	299	0	51	0	19	261	0	0	187	953	8	0	0	1246	0	279	0	0	27	0	0	1991	0	0	6	0	0	551	0	31641	1908	0	829	0	83	0	655	2998	0	25	0	0	0	0	1900	0	0	0	504	0	61	29	82	231	90	178	888	1902	8	0	69	3	40	150	31	2127	226	0	0	0	156	0	0	148	0	0
B173	4	60	106	0	0	9261	3862	2201	0	0	0	6	6	0	2	0	1321	0	403	18	0	115	0	0	44	1	0	0	9	0	0	39	33	15	152	908	0	0	0	196	1522	0	684	0	0	0	0	0	486	20	4	157	47	34	0	0	13	0	27	597	0	845	0	0	59	0	484	0	0	211	1245	30	0	0	1141	0	578	0	0	27	0	0	1739	0	0	0	0	0	561	0	18757	1510	0	1022	0	249	0	702	2605	0	34	0	0	0	0	485	0	0	0	1205	0	59	466	21	263	78	194	832	1554	13	0	0	25	54	110	50	2382	205	1	0	0	203	0	14	47	0	0
B174	61	26	106	0	0	5968	5458	4475	0	0	0	228	19	0	0	0	2641	0	5	29	0	125	25	0	28	30	0	0	0	0	0	40	18	38	198	8	0	0	0	77	2292	0	1516	0	16	0	0	0	54	102	8	68	17	22	0	0	0	0	24	482	0	453	0	47	0	0	346	0	0	372	2147	37	0	0	2128	0	494	0	8	33	10	0	571	0	0	9	0	0	815	0	26483	1369	0	610	8	289	0	227	2000	0	75	0	2	0	0	1314	0	0	0	1792	0	122	246	559	413	103	280	671	981	14	0	67	31	143	33	26	1942	804	0	15	0	0	0	41	142	0	0
B175	8	19	50	0	0	2958	4791	6025	0	0	0	60	0	0	0	0	2231	0	0	10	0	63	0	0	73	3	8	0	0	0	0	80	107	0	156	218	0	0	0	150	613	0	873	0	0	0	0	0	166	155	7	10	44	43	5	0	0	0	43	141	0	187	0	25	0	0	304	0	0	120	1375	16	0	0	1035	0	91	0	0	17	0	5	1611	0	0	0	0	0	596	0	26067	1027	0	478	0	120	0	621	2508	0	78	0	0	0	0	1037	0	0	0	1065	0	109	313	61	242	145	144	1432	416	6	0	44	65	31	133	65	4482	726	0	0	0	0	0	6	0	0	0
B176	42	20	44	0	0	2157	5950	5996	0	0	0	20	0	20	0	3	2269	0	0	0	0	71	0	0	227	17	0	0	0	0	0	53	85	6	336	95	0	0	0	70	366	0	696	0	0	0	0	4	137	72	0	9	16	32	6	0	0	0	10	46	0	161	0	0	0	0	106	0	0	166	734	9	0	0	1078	0	53	0	0	0	0	0	1203	0	0	6	0	0	862	0	29116	1248	0	733	0	55	0	320	1900	0	24	0	0	0	0	2733	0	0	0	877	0	220	186	113	53	67	0	166	598	59	0	8	34	25	163	33	2182	319	0	0	0	0	0	16	7	0	0
B177	73	404	297	0	0	3606	7369	4110	0	0	0	165	35	82	0	0	1361	0	0	33	0	134	0	0	20	0	10	0	41	31	0	36	56	161	1064	0	0	0	0	44	1744	0	2569	12	135	0	0	9	127	188	0	493	13	28	7	0	0	0	66	628	0	209	0	145	22	61	574	0	0	582	2115	67	0	4	10749	0	483	0	0	53	15	0	1930	0	0	0	0	0	1207	0	24863	294	0	4012	0	817	0	571	1851	0	121	0	0	0	3	540	0	0	0	703	0	93	0	730	440	245	239	1373	921	76	0	20	64	151	210	125	1884	1247	0	0	0	0	0	106	71	0	0
B178	9	80	36	0	0	9318	6143	4945	0	0	0	55	8	0	0	0	1520	0	0	7	0	64	0	0	54	33	0	0	7	32	0	20	34	23	663	0	0	0	0	96	509	0	229	0	11	0	0	0	124	52	0	76	19	18	0	0	0	0	4	90	0	245	0	46	12	0	254	0	0	183	1269	16	0	0	3538	0	279	0	0	0	0	0	2576	0	0	0	0	0	585	0	21353	1087	0	1952	0	407	3	586	881	0	28	0	0	0	0	1534	0	0	0	705	0	64	0	132	132	145	734	941	731	0	0	19	15	0	113	78	1771	674	0	0	0	0	0	22	18	0	0
B179	248	64	65	0	0	4019	5280	3722	2	0	0	69	14	52	0	0	1615	0	85	0	0	33	0	0	0	3	0	0	0	15	0	23	71	91	281	0	0	0	0	56	748	0	1554	0	44	0	0	0	108	115	0	22	30	8	4	0	0	0	24	189	0	158	0	89	0	0	225	0	0	141	1069	0	0	0	2178	0	55	0	0	15	0	0	1481	0	0	0	0	0	549	0	22169	628	0	996	0	242	0	764	1542	0	51	0	0	0	0	913	2	0	0	1018	0	63	0	312	101	30	8	825	794	49	0	24	28	90	262	113	1594	828	0	0	0	0	0	28	27	0	0
B180	0	478	329	0	0	2179	6227	5979	0	0	0	75	4	91	0	3	1784	0	31	9	0	73	0	0	40	26	0	7	0	64	0	28	53	122	533	0	0	0	12	10	1553	0	1091	3	76	0	6	0	98	0	7	28	34	26	6	0	0	0	75	607	0	351	0	90	0	42	356	0	0	400	1874	70	0	0	6590	0	818	0	0	20	6	0	2275	0	0	0	0	0	524	0	21234	1290	0	2688	0	290	0	388	1199	0	117	0	0	0	0	543	0	0	0	386	0	213	0	515	300	242	70	1119	772	42	0	43	14	172	202	72	1006	44	0	0	0	0	0	61	25	7	0
B181	16	58	39	0	0	11558	4449	2800	0	0	0	133	14	0	0	0	1219	0	534	14	0	98	16	0	64	3	0	0	0	14	0	27	11	52	392	0	0	0	0	34	1037	0	1450	0	2	0	0	10	65	0	0	52	35	26	0	0	0	0	10	474	0	239	0	59	0	0	200	0	0	174	2360	0	0	0	3080	0	192	0	0	0	1	0	1588	2	0	3	0	0	519	0	23159	216	0	1414	0	334	0	622	1625	0	53	0	3	0	0	341	0	3	0	758	0	328	0	388	270	52	573	663	549	27	0	29	21	20	133	73	1938	1055	0	0	0	0	5	13	59	0	0
B182	37	83	35	0	0	8410	5567	2789	0	0	0	62	4	0	0	0	764	0	177	6	0	55	0	0	35	3	0	0	3	18	0	34	10	3	319	0	0	0	0	90	687	0	4330	0	3	0	0	13	101	0	7	28	21	18	0	0	0	0	25	206	0	774	0	40	329	0	162	0	0	259	2146	0	0	0	2961	0	682	0	5	0	2	0	903	0	0	0	0	0	257	0	20879	882	0	1026	0	244	0	1046	1871	0	37	0	0	0	0	994	0	0	0	799	0	216	0	192	266	91	278	517	732	0	0	23	55	26	151	82	1278	891	0	0	0	0	0	29	56	0	0
B183	9	44	66	0	0	4225	2425	1876	0	0	0	103	3	0	0	3	520	0	121	4	0	17	0	0	17	0	0	0	7	0	0	2	22	12	308	0	0	0	6	0	1382	0	2521	0	13	0	0	0	38	0	0	34	0	22	0	0	0	0	13	142	0	87	0	38	62	0	99	0	0	174	562	0	0	0	2564	0	6	0	11	0	1	0	399	0	0	0	0	0	50	0	11854	593	0	974	0	153	0	104	1004	0	18	0	0	0	0	269	0	0	0	78	0	68	0	136	172	38	0	421	351	12	0	26	16	24	82	65	309	135	0	0	0	0	0	8	9	11	0
B184	22	38	238	0	0	1998	11290	16699	0	0	0	230	4	0	0	0	3502	0	0	16	0	67	12	0	79	0	4	0	0	0	0	87	129	72	330	0	0	0	0	54	809	0	166	0	0	0	0	10	184	94	0	69	30	42	10	0	0	0	35	151	0	1723	0	55	0	0	351	0	0	252	1517	13	0	0	2348	0	226	0	12	18	0	0	493	0	0	12	0	10	2021	0	51391	1926	0	728	0	334	0	306	1697	0	42	0	0	0	0	1646	0	0	0	1180	0	203	0	329	415	95	111	640	343	92	0	34	165	90	603	41	5506	305	0	0	0	0	1	16	115	0	0
B185	157	39	413	0	0	710	5963	8548	2	0	9	555	34	0	0	0	1971	0	0	36	0	168	50	0	41	0	0	0	6	7	0	19	58	65	317	0	0	0	0	0	1958	0	89	0	0	0	0	4	134	111	0	23	29	46	4	0	8	0	81	385	0	702	0	92	27	44	596	0	0	374	2232	31	0	0	5474	0	245	0	13	37	17	0	421	0	0	0	0	0	1030	0	31057	1209	0	570	0	621	0	160	988	0	132	0	0	0	0	698	0	0	0	408	0	76	0	809	896	228	398	916	323	75	0	101	132	206	249	43	3314	93	0	0	0	0	7	19	272	0	0
B186	0	24	98	0	0	4928	2714	3369	0	38	0	122	0	26	2	0	1570	0	0	7	7	75	0	0	120	0	0	0	0	6	0	36	80	6	152	0	0	0	0	27	885	0	283	0	0	0	0	0	80	49	0	223	1	6	7	0	0	0	13	136	0	153	0	0	13	29	137	0	0	259	900	90	0	0	2005	0	98	0	12	16	3	0	434	0	0	0	0	0	177	0	34317	1574	0	814	20	115	0	197	2244	0	42	0	0	0	0	1022	0	2	0	346	0	99	0	207	123	64	3	285	496	21	0	56	40	80	147	33	1087	83	0	0	0	0	4	0	57	7	0
B187	3	18	14	0	0	6777	2341	3698	3	31	0	79	3	0	0	0	1631	0	0	0	0	0	0	0	22	0	0	0	7	0	0	36	56	2	182	0	0	0	10	41	407	0	533	0	0	0	0	0	169	117	11	527	31	13	0	0	0	0	0	79	0	344	0	0	0	0	55	0	0	60	422	36	0	0	1243	0	72	0	0	0	0	0	394	0	0	0	0	0	117	0	32999	2187	0	980	7	66	0	230	3323	0	16	0	0	0	0	754	0	0	0	145	0	105	0	74	20	10	1	129	229	0	0	21	34	22	168	25	655	9	0	0	0	0	0	0	15	0	0
B188	53	335	296	0	0	154	5456	4105	0	0	0	309	14	42	0	0	2504	0	0	58	0	466	84	0	2	2	5	0	0	13	0	60	72	97	227	0	0	0	16	0	2295	0	58	0	5	0	0	17	17	105	0	10	17	17	22	0	5	0	49	163	0	628	0	59	63	0	798	0	0	1175	3185	150	0	0	3670	0	566	0	58	95	0	0	206	0	0	0	0	0	180	0	25786	1109	0	1036	0	576	0	176	546	0	112	0	0	0	0	595	0	0	0	65	0	46	0	2618	1353	692	82	1300	575	33	16	365	102	100	95	31	1504	56	0	0	0	0	34	17	1122	73	0
B189	8	17	81	0	0	345	2995	4612	2	0	0	64	0	0	0	2	1757	0	0	10	0	98	0	0	16	0	0	0	0	5	0	51	84	14	311	0	0	0	0	11	970	0	54	0	0	0	0	14	55	29	0	0	9	6	0	0	0	0	5	111	0	191	0	0	0	31	149	0	0	490	755	89	0	0	3769	0	69	0	17	6	0	0	171	0	0	0	0	0	25	0	35749	1509	0	1486	0	234	0	160	1010	0	43	0	0	0	0	941	0	0	0	67	0	422	0	271	208	57	0	399	293	20	0	57	42	81	214	10	677	45	0	0	0	0	9	0	49	7	0
B190	0	41	32	0	0	4440	4018	4907	0	0	0	60	0	0	0	0	1670	0	0	0	0	23	0	3	77	43	0	0	0	0	0	65	49	0	96	0	0	0	0	138	560	0	604	0	2	0	0	8	240	19	0	131	62	31	0	0	0	0	10	142	0	594	0	40	0	0	170	0	0	97	922	3	0	0	787	0	189	0	0	16	4	0	637	0	0	6	0	0	683	0	37527	1071	0	972	0	137	0	191	1793	0	16	0	0	0	0	1768	0	0	0	1875	0	55	0	107	102	93	60	649	219	31	0	10	13	32	121	51	2638	164	0	0	0	0	0	0	22	0	0
B191	72	491	391	0	0	264	8317	5990	0	0	0	506	28	0	0	4	3532	0	0	116	0	561	98	0	3	29	3	0	0	8	0	55	146	102	335	0	0	0	22	0	2903	0	93	14	6	0	0	21	39	175	0	10	39	36	31	0	32	0	63	227	0	897	0	60	46	0	1102	0	0	1351	4113	167	0	0	4671	0	772	0	76	100	17	0	253	0	0	0	0	0	356	0	37543	1517	0	1489	8	751	0	272	804	0	156	24	0	0	0	1006	0	0	0	119	0	93	0	2938	1819	928	97	1926	770	63	36	488	205	198	197	29	2167	94	0	0	0	0	37	21	1207	87	0
B192	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3	16	0	0	0	23	0	0	0	0	0	0	0	0	0	23	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
